"Time
(hours)","MSE1
24-hr (depth)","MSE2
24-hr
(depth)","MSE3
24-hr
(depth)","MSE4
24-hr
(depth)","MSE5
24-hr
(depth)","MSE6
24-hr
(depth)","Type I
24-hr
(depth)","Type IA
24-hr
(depth)","Type II
6-hr
(depth)","Type II
12-hr
(depth)","Type II
24-hr
(depth)","Type III
6-hr
(depth)","Type III
12-hr
(depth)","Type III
24-hr
(depth)"
9.7,0.08701,0.10864,0.12664,0.14668,0.16858,0.18851,0.345416,0.56116,,0.942646,0.16972,,0.941217,0.174817
9.8,0.08985,0.11188,0.1302,0.15053,0.17275,0.19289,0.387843,0.56656,,0.945588,0.17332,,0.94459,0.17943
9.9,0.09274,0.11516,0.1338,0.15444,0.17698,0.19732,0.463162,0.57184,,0.948447,0.17708,,0.947829,0.184157
10,0.09566,0.11849,0.13744,0.15839,0.18125,0.2018,0.515,0.577,,0.951223,0.181,,0.950933,0.189
10.1,0.09863,0.12185,0.14113,0.16239,0.18557,0.20632,0.5322,0.581976,,0.954003,0.18512,,0.953938,0.19402
10.2,0.10163,0.12527,0.14487,0.16643,0.18994,0.2109,0.5476,0.586849,,0.956694,0.18948,,0.956888,0.19928
10.3,0.10467,0.12872,0.14866,0.17053,0.19436,0.21553,0.5612,0.591633,,0.959355,0.19408,,0.959779,0.20478
10.4,0.10776,0.13222,0.15248,0.17467,0.19883,0.22021,0.573,0.596345,,0.961986,0.19892,,0.962612,0.21052
10.5,0.11088,0.13576,0.15636,0.17886,0.20335,0.22494,0.583,0.601002,,0.964588,0.204,,0.965387,0.2165
10.6,0.1158,0.14115,0.16212,0.18492,0.20974,0.23145,0.59188,0.60576,,0.96716,0.2094,,0.968103,0.22272
10.7,0.12157,0.14732,0.16863,0.1917,0.21681,0.23857,0.60032,0.61044,,0.969702,0.2152,,0.97076,0.22918
10.8,0.12817,0.15428,0.17591,0.19919,0.22454,0.2463,0.60832,0.61504,,0.972215,0.2214,,0.973359,0.23588
10.9,0.13562,0.16203,0.18394,0.20739,0.23295,0.25465,0.61588,0.61956,,0.974698,0.228,,0.9759,0.24282
